gen,sp
Grapholita,delineana
Grapholita,funebrana
Grapholita,inopinata
Grapholita,molesta
Grapholita,packardi
Grapholita,prunivora
Graphosoma,lineatum
Gryllotalpa,africana
Gryllotalpa,gryllotalpa
Gynaikothrips,ficorum
Gypsonoma,aceriana
Hadula,trifolii
Halyomorpha,halys
Haplodiplosis,marginata
Haplothrips,aculeatus
Haplothrips,tritici
Haritalodes,derogata
Harmonia,axyridis
Hedya,nubiferana
Helicoverpa,armigera
Helicoverpa,assulta
Helicoverpa,fletcheri
Helicoverpa,punctigera
Helicoverpa,zea
Heliothis,peltigera
Heliothis,virescens
Heliothis,viriplaca
Heliothrips,haemorrhoidalis
Hellula,undalis
Helopeltis,antonii
Helopeltis,bergrothi
Helopeltis,schoutedeni
Helopeltis,theivora
Hemiberlesia,lataniae
Hemiberlesia,pitysophila
Hemiberlesia,rapax
Henosepilachna,elaterii
Henosepilachna,pusillanima
Hercinothrips,femoralis
Heteronychus,arator
Heteronychus,licas
Heteropsylla,cubana
Hieroglyphus,banian
Hippotion,celerio
Holotrichia,disparilis
Holotrichia,serrata
Homalodisca,vitripennis
Homona,coffearia
Homona,magnanima
Hoplocampa,
Horcias,nobilellus
Hyalesthes,obsoletus
Hyalopterus,pruni
Hyblaea,puera
Hydraecia,immanis
Hydraecia,micacea
Hydrellia,griseola
Hydrellia,philippina
Hydrellia,sasakii
Hylastes,ater
Hylobitelus,xiaoi
Hylotrupes,bajulus
Hylurgops,palliatus
Hylurgus,ligniperda
Hypera,postica
Hypera,zoilus
Hyperomyzus,lactucae
Hyphantria,cunea
Hypomeces,squamosus
Hypothenemus,hampei
Hypothenemus,obscurus
Icerya,aegyptiaca
Icerya,purchasi
Icerya,seychellarum
Idioscopus,clypealis
Idioscopus,nagpurensis
Idioscopus,nitidulus
Indarbela,dea
Indarbela,quadrinotata
Ips,amitinus
Ips,calligraphus
Ips,cembrae
Ips,confusus
Ips,duplicatus
Ips,grandicollis
Ips,hauseri
Ips,lecontei
Ips,paraconfusus
Ips,plastographus
Ips,subelongatus
Japanagromyza,tristella
Japanagromyza,yanoi
Keiferia,lycopersicella
Lacanobia,oleracea
Lambdina,fiscellaria
Lampides,boeticus
Laodelphax,striatellus
Lasioderma,serricorne
Latheticus,oryzae
Lecanoideus,floccissimus
Lepidiota,stigma
Lepidosaphes,beckii
Lepidosaphes,conchiformis
Lepidosaphes,gloverii
Lepidosaphes,ulmi
Leptinotarsa,decemlineata
Leptocorisa,acuta
Leptocorisa,oratorius
Leptopharsa,heveae
Leucinodes,orbonalis
Leucoma,salicis
Leucopholis,burmeisteri
Leucopholis,coneophora
Leucopholis,irrorata
Leucopholis,lepidophora
Leucopholis,pinguis
Leucopholis,rorida
Leucoptera,caffeina
Leucoptera,coma
Leucoptera,malifoliella
Leucoptera,meyricki
Lilioceris,lilii
Limonius,californicus
Limothrips,cerealium
Limothrips,denticornis
Linepithema,humile
Lipaphis,erysimi
Liposcelis,bostrychophila
Liposcelis,paeta
Liriomyza,brassicae
Liriomyza,bryoniae
Liriomyza,huidobrensis
Liriomyza,sativae
Liriomyza,trifolii
Lissorhoptrus,oryzophilus
Listroderes,costirostris
Listronotus,bonariensis
Lobesia,botrana
Locusta,migratoria
Lopholeucaspis,japonica
Loxostege,sticticalis
Lygus,lineolaris
Lymantria,dispar
Lymantria,mathura
Lymantria,monacha
Lymantria,obfuscata
Maconellicoccus,hirsutus
Macroplectra,nararia
Macrosiphum,euphorbiae
Macrosiphum,rosae
Macrosteles,quadrilineatus
Malacosoma,americanum
Malacosoma,disstria
Malacosoma,neustria
Malacosoma,parallela
Maladera,orientalis
Mamestra,brassicae
Mamestra,configurata
Manduca,quinquemaculata
Manduca,sexta
Marasmia,exigua
Marasmia,patnalis
Margarodes,prieskaensis
Margarodes,vredendalensis
Maruca,vitrata
Matsucoccus,feytaudi
Matsucoccus,josephi
Mayetiola,destructor
Megachile,rotundata
Megalurothrips,distalis
Megalurothrips,sjostedti
Megalurothrips,usitatus
Megastes,grandalis
Megastigmus,
Megymenum,brevicorne
Melanagromyza,dolichostigma
Melanagromyza,obtusa
Melanagromyza,sojae
Melanaphis,sacchari
Melanaspis,glomerata
Melanitis,leda
Melanoplus,bivittatus
Melanoplus,sanguinipes
Melanotus,communis
Meligethes,aeneus
Melolontha,melolontha
Meromyza,saltatrix
Mesoplatys,cincta
Mesoplatys,ochroptera
Metamasius,hemipterus
Metcalfa,pruinosa
Metopolophium,dirhodum
Metopolophium,festucae
Metrogaleruca,obscura
Microtermes,
Mikiola,fagi
Mocis,latipes
Monema,flavescens
Monochamus,carolinensis
Monochamus,marmorator
Monochamus,mutator
Monochamus,nitens
Monochamus,notatus
Monochamus,obtusus
Monochamus,saltuarius
Monochamus,scutellatus
Monochamus,scutellatus
Monochamus,scutellatus
Monochamus,sutor
Monochamus,titillator
Murgantia,histrionica
Mussidia,nigrivenella
Mythimna,loreyi
Mythimna,separata
Mythimna,unipuncta
Myzus,cerasi
Myzus,persicae
Nacoleia,octasema
Naranga,diffusa
Nasonovia,ribisnigri
Naupactus,leucoloma
Naupactus,xanthographus
Nemorimyza,maculosa
Neoaliturus,haematoceps
Neoceratitis,cyanescens
Nephotettix,cincticeps
Nephotettix,nigropictus
Nephotettix,virescens
Nesidiocoris,tenuis
Nezara,viridula
Nilaparvata,lugens
Nipaecoccus,nipae
Nipaecoccus,viridis
Noctua,pronuba
Nomadacris,septemfasciata
Nysius,huttoni
Odoiporus,longicollis
Oebalus,insularis
Oecophylla,smaragdina
Oedaleus,senegalensis
Omiodes,diemenalis
Omiodes,indicata
Omphisa,anastomosalis
Operophtera,brumata
Ophiomyia,centrosematis
Ophiomyia,phaseoli
Opogona,sacchari
Oracella,acuta
Orgyia,antiqua
Orgyia,leucostigma
Orgyia,postica
Orgyia,pseudotsugata
Orosius,lotophagorum
Orosius,orientalis
Orseolia,oryzae
Orseolia,oryzivora
Orthaga,euadrusalis
Orthaga,exvinacea
Orthezia,insignis
Orthosia,cerasi
Orthotomicus,erosus
Oryctes,boas
Oryctes,monoceros
Oryctes,rhinoceros
Oryzaephilus,mercator
Oryzaephilus,surinamensis
Oscinella,frit
Ostrinia,furnacalis
Ostrinia,nubilalis
Otiorhynchus,armadillo
Otiorhynchus,ovatus
Otiorhynchus,rugosostriatus
Otiorhynchus,salicicola
Otiorhynchus,singularis
Otiorhynchus,sulcatus
Oulema,melanopus
Oxya,chinensis
Pachnoda,interrupta
Pachymerus,cardo
Palpita,vitrealis
Pandemis,cerasana
Pandemis,heparana
Pantomorus,cervinus
Papilio,demoleus
Papilio,polytes
Parabemisia,myricae
Paracoccus,marginatus
Paradiplosis,tumifex
Paraleucoptera,sinuella
Paranthrene,tabaniformis
Parapoynx,stagnalis
Parasa,lepida
Parasaissetia,nigra
Parlatoria,blanchardi
Parlatoria,oleae
Parlatoria,pergandii
Parlatoria,ziziphi
Parnara,guttatus
Paropsis,atomaria
Paropsis,charybdis
Parthenolecanium,corni
Parthenolecanium,persicae
Paysandisia,archon
Pectinophora,gossypiella
Pectinophora,scutigera
Pegomya,hyoscyami
Pelopidas,mathias
Penicillaria,jocosatrix
Pentalonia,nigronervosa
Peregrinus,maidis
Peridroma,saucia
Perileucoptera,coffeella
Perkinsiella,saccharicida
Perkinsiella,vastatrix
Phaenacantha,saccharicida
Phalaenoides,glycinae
Phenacoccus,madeirensis
Phenacoccus,manihoti
Phenacoccus,solenopsis
Philaenus,spumarius
Phloeomyzus,passerinii
Phlyctinus,callosus
Phoracantha,recurva
Phoracantha,semipunctata
Phorodon,humuli
Phragmataecia,castaneae
Phthorimaea,operculella
Phylacteophaga,froggatti
Phyllocnistis,citrella
Phyllonorycter,blancardella
Phyllonorycter,crataegella
Phyllonorycter,issikii
Phyllophaga,
Phyllophaga,smithi
Phyllotreta,chotanica
Phyllotreta,cruciferae
Phyllotreta,striolata
Phytolyma,lata
Phytomyza,gymnostoma
Pieris,brassicae
Pieris,napi
Pieris,rapae
Piezodorus,guildinii
Piezodorus,hybneri
Pimelephila,ghesquierei
Pineus,pini
Pinnaspis,strachani
Pissodes,castaneus
Pissodes,nemorensis
Pissodes,piniphilus
Pissodes,strobi
Pissodes,terminalis
Pissodes,yunnanensis
Pityokteines,curvidens
Planococcoides,njalensis
Planococcus,citri
Planococcus,kenyae
Planococcus,lilacinus
Platyngomiriodes,apiformis
Platynota,stultana
Platypus,quercivorus
Plemeliella,abietina
Plocaederus,obesus
Plocaederus,pedestris
Plocaederus,ruficornis
Plodia,interpunctella
Plutella,xylostella
Poecilocoris,latus
Polyphylla,laticollis
Popillia,japonica
Porotermes,adamsoni
Postelectrotermes,militaris
Prays,citri
Prays,oleae
Premnotrypes,latithorax
Premnotrypes,suturicallus
Premnotrypes,vorax
Pristiphora,abietina
Pristiphora,conjugata
Pristiphora,erichsonii
Proeulia,auraria
Proeulia,chrysopteris
Promecotheca,caerulipennis
Promecotheca,cumingii
Promecotheca,papuana
Prostephanus,truncatus
Protomelittomma,insulare
Pseudaulacaspis,cockerelli
Pseudaulacaspis,pentagona
Pseudococcus,calceolariae
Pseudococcus,comstocki
Pseudococcus,elisae
Pseudococcus,jackbeardsleyi
Pseudococcus,longispinus
Pseudodendrothrips,mori
Pseudotheraptus,devastans
Pseudotheraptus,wayi
Psila,rosae
Psylliodes,chrysocephala
Pterochloroides,persicae
Pteroteinon,laufella
Pulvinaria,psidii
Pyrilla,perpusilla
Pyrrhalta,luteola
Rabdophaga,saliciperda
Rastrococcus,iceryoides
Rastrococcus,invadens
Recilia,dorsalis
Retithrips,syriacus
Rhabdoscelus,obscurus
Rhagoletis,cerasi
Rhagoletis,cingulata
Rhagoletis,completa
Rhagoletis,fausta
Rhagoletis,indifferens
Rhagoletis,mendax
Rhagoletis,pomonella
Rhagoletis,ribicola
Rhipiphorothrips,cruentatus
Rhizoecus,hibisci
Rhopalosiphum,insertum
